[OPT][elapsed=00:02:40][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:02:50][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:00][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:10][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:20][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:30][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:40][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:03:50][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:00][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:10][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:20][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:30][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:40][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.203 queue=normal
[OPT][elapsed=00:04:50][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.242 queue=normal
